Title = Snapshot #29
Variables=X Y Z PartID
Zone I= 6394, F=POINT
9.190828e+00 -1.109564e+01 2.054810e+01 2
9.965845e+00 1.104644e+01 2.777455e+01 8
8.388206e+00 2.107726e+01 2.173144e+01 12
-6.451213e+00 6.120718e+00 9.770143e+00 14
-3.351508e+01 1.930948e+01 9.193434e-01 17
-2.327010e+01 1.248658e+01 8.685383e+00 18
-3.561229e+01 -2.264358e+01 2.022081e+01 21
-1.902362e+01 -1.462714e+01 2.532370e+01 23
1.844508e+01 -1.180831e+01 1.492688e+01 31
-1.647017e+01 -4.466434e-01 4.614773e+00 41
6.438573e+00 7.289063e+00 1.330033e+01 42
-2.200451e+01 5.112054e+00 2.172892e+01 45
-4.435065e+01 -2.138899e+01 2.677129e+01 74
-2.907058e+01 -1.269585e+01 7.991296e+00 80
3.074646e+00 2.372522e+01 1.310482e+01 82
-4.836071e+01 -1.498555e+01 2.489043e+01 83
2.498242e+01 1.335488e+01 7.368827e+00 91
2.937983e+01 -1.156870e+01 2.225420e+01 95
3.255056e+01 1.312952e+01 2.511898e+01 98
4.473162e+01 1.207726e+01 1.694829e+01 135
6.715031e+00 -8.193777e+00 1.643236e+01 137
3.320772e+01 8.823080e+00 1.319440e+01 150
-1.829006e+01 -5.895396e+00 8.493413e+00 158
-2.281882e+01 -2.414975e+01 1.579423e+01 166
2.913052e+01 1.011991e+00 1.516202e+01 171
2.328021e+01 1.311448e+01 5.378056e+00 181
-9.686330e+00 6.228088e+00 1.104100e+01 214
-1.920282e+01 2.080944e+01 6.431578e+00 217
-4.064863e+01 -1.452134e+01 2.559139e+01 219
1.543642e+00 2.628322e+00 1.049234e+01 233
-4.541508e+01 1.530250e+01 8.494294e+00 234
2.233360e+01 -1.507096e+01 5.056873e+00 257
-4.336515e+01 -1.916425e+01 2.040855e+01 279
8.800459e+00 2.501382e+00 1.995838e+01 295
-4.396203e+01 -1.812057e+01 3.891547e+00 309
3.726272e+01 -1.924562e+01 6.600310e+00 317
8.288743e+00 7.318798e-01 2.584935e+01 319
9.371138e+00 -1.848942e+01 2.468471e+01 321
-4.187261e+01 1.509264e+01 1.859030e+01 325
-4.889175e+01 -1.262331e+01 1.650694e+00 329
3.505846e+01 2.051025e+01 2.977259e+01 337
-3.157009e+01 -1.110700e+01 7.926325e+00 340
4.223642e+01 2.369293e+01 2.852998e+01 352
4.551568e+01 1.440909e+01 1.757768e+01 363
-1.267205e+01 2.346285e+01 3.284185e+00 373
4.328128e+01 5.236756e-01 2.902690e+01 375
-2.623286e+01 1.216589e+01 4.487017e+00 396
1.615378e+01 1.038563e+01 1.159214e+01 412
-1.323539e+01 -1.932887e+01 2.398688e+01 425
4.608320e+00 1.420727e+01 5.199620e-01 426
-4.154658e+00 1.516770e-01 8.829114e+00 427
2.022709e+01 1.044894e+01 2.363437e+01 441
1.909248e+01 1.571205e+01 2.700384e+01 443
1.018136e+01 1.991242e+01 2.569469e+01 454
2.474171e+01 1.011155e+01 2.559651e+01 457
-2.380811e+00 2.275005e+01 1.881942e+01 467
3.457467e+01 -1.488809e+01 8.159226e+00 477
3.775441e+01 3.797382e+00 4.823746e+00 504
-8.610465e+00 5.733523e+00 1.500028e+01 505
1.316184e+01 1.372733e+01 2.955544e+01 506
3.130547e+00 -1.338539e+01 1.083067e+01 510
-6.988642e+00 1.078955e+01 8.319017e+00 521
-1.686717e+01 -2.090147e+01 8.714773e+00 524
-3.600940e+01 6.312280e+00 2.539059e+01 536
1.621683e+01 1.877248e+01 2.101832e+00 537
-1.058308e+01 -1.094778e+01 2.815418e+01 555
4.802443e+01 1.448707e+01 2.760760e+01 558
-1.166536e+01 5.193222e+00 2.917417e+01 559
2.803278e+01 1.264854e+01 2.912777e+01 564
3.917475e+01 1.866108e+01 1.655368e+01 578
-6.235864e+00 2.055657e+01 4.208582e-01 581
-4.667011e+01 4.954480e-01 1.639595e+01 582
-2.772023e+01 1.392039e+01 1.372166e+01 588
4.461533e+01 2.147495e+01 1.550043e+01 591
-1.948247e+00 1.567781e+01 2.741580e+01 594
-4.915429e+01 6.556500e+00 3.425145e+00 599
-8.220124e+00 -2.362735e+01 8.577660e-01 611
-4.206596e+01 -7.416837e+00 1.459463e+01 626
4.023408e+01 1.749180e+01 2.660971e+00 629
-8.154005e+00 2.308397e+01 2.658733e+01 634
6.435504e-01 -1.394779e+01 6.508824e+00 636
-1.858451e+01 -7.908208e+00 2.208459e+01 640
2.569134e+01 1.590778e+01 1.998891e+00 650
4.847308e+01 -2.386447e+01 9.770550e+00 657
-1.247968e+01 -2.110665e+00 2.101693e+01 661
-4.206780e+01 -7.719420e+00 8.923438e+00 667
1.173595e+01 -1.191774e+01 2.316809e+01 674
2.890376e+01 -1.224391e+01 2.926108e+00 675
